cod_uf,year,cases,death,CFR,year_label,state
11,2015,25,0,0,1_2015,RO
12,2015,7,0,0,1_2015,AC
13,2015,35,0,0,1_2015,AM
14,2015,54,0,0,1_2015,RR
15,2015,272,0,0,1_2015,PA
16,2015,865,0,0,1_2015,AM
17,2015,31,1,32.3,1_2015,TO
21,2015,420,0,0,1_2015,MA
22,2015,32,0,0,1_2015,PI
23,2015,93,0,0,1_2015,CE
24,2015,3048,0,0,1_2015,RN
25,2015,52,0,0,1_2015,PB
26,2015,5355,12,2.2,1_2015,PE
27,2015,1736,0,0,1_2015,AL
28,2015,2547,3,1.2,1_2015,SE
29,2015,23636,12,0.5,1_2015,BA
31,2015,35,0,0,1_2015,MG
32,2015,14,0,0,1_2015,ES
33,2015,91,0,0,1_2015,RJ
35,2015,349,0,0,1_2015,SP
41,2015,20,0,0,1_2015,PR
42,2015,13,0,0,1_2015,SC
43,2015,20,0,0,1_2015,RS
50,2015,60,0,0,1_2015,MS
51,2015,120,0,0,1_2015,MT
52,2015,23,0,0,1_2015,GO
53,2015,44,0,0,1_2015,DF
11,2016,829,0,0,2_2016,RO
12,2016,372,0,0,2_2016,AC
13,2016,878,0,0,2_2016,AM
14,2016,240,0,0,2_2016,RR
15,2016,4343,0,0,2_2016,PA
16,2016,967,1,1,2_2016,AM
17,2016,1390,1,0.7,2_2016,TO
21,2016,13853,26,1.9,2_2016,MA
22,2016,2779,1,0.4,2_2016,PI
23,2016,48324,46,1,2_2016,CE
24,2016,24927,64,2.6,2_2016,RN
25,2016,20289,40,2,2_2016,PB
26,2016,50139,94,1.9,2_2016,PE
27,2016,18451,14,0.8,2_2016,AL
28,2016,9268,3,0.3,2_2016,SE
29,2016,51684,8,0.2,2_2016,BA
31,2016,1452,1,0.7,2_2016,MG
32,2016,470,0,0,2_2016,ES
33,2016,18516,17,0.9,2_2016,RJ
35,2016,4807,0,0,2_2016,SP
41,2016,1058,0,0,2_2016,PR
42,2016,578,0,0,2_2016,SC
43,2016,342,0,0,2_2016,RS
50,2016,284,0,0,2_2016,MS
51,2016,568,0,0,2_2016,MT
52,2016,486,1,2.1,2_2016,GO
53,2016,588,1,1.7,2_2016,DF
11,2017,204,0,0,3_2017,RO
12,2017,106,0,0,3_2017,AC
13,2017,247,0,0,3_2017,AM
14,2017,3989,0,0,3_2017,RR
15,2017,8664,6,0.7,3_2017,PA
16,2017,219,0,0,3_2017,AM
17,2017,3060,3,1,3_2017,TO
21,2017,6368,2,0.3,3_2017,MA
22,2017,6382,2,0.3,3_2017,PI
23,2017,114041,188,1.6,3_2017,CE
24,2017,1988,2,1,3_2017,RN
25,2017,1739,4,2.3,3_2017,PB
26,2017,1787,1,0.6,3_2017,PE
27,2017,477,0,0,3_2017,AL
28,2017,398,0,0,3_2017,SE
29,2017,9014,2,0.2,3_2017,BA
31,2017,16320,15,0.9,3_2017,MG
32,2017,820,2,2.4,3_2017,ES
33,2017,4656,4,0.9,3_2017,RJ
35,2017,934,2,2.1,3_2017,SP
41,2017,157,0,0,3_2017,PR
42,2017,53,0,0,3_2017,SC
43,2017,63,0,0,3_2017,RS
50,2017,154,0,0,3_2017,MS
51,2017,3452,1,0.3,3_2017,MT
52,2017,171,1,5.8,3_2017,GO
53,2017,130,0,0,3_2017,DF
11,2018,62,0,0,4_2018,RO
12,2018,301,0,0,4_2018,AC
13,2018,79,0,0,4_2018,AM
14,2018,32,0,0,4_2018,RR
15,2018,8079,1,0.1,4_2018,PA
16,2018,175,0,0,4_2018,AM
17,2018,327,0,0,4_2018,TO
21,2018,681,2,2.9,4_2018,MA
22,2018,613,6,9.8,4_2018,PI
23,2018,1534,1,0.7,4_2018,CE
24,2018,2149,1,0.5,4_2018,RN
25,2018,1013,3,3,4_2018,PB
26,2018,1206,0,0,4_2018,PE
27,2018,208,0,0,4_2018,AL
28,2018,39,0,0,4_2018,SE
29,2018,3760,0,0,4_2018,BA
31,2018,11769,2,0.2,4_2018,MG
32,2018,677,1,1.5,4_2018,ES
33,2018,40164,19,0.5,4_2018,RJ
35,2018,731,0,0,4_2018,SP
41,2018,129,0,0,4_2018,PR
42,2018,56,0,0,4_2018,SC
43,2018,51,1,19.6,4_2018,RS
50,2018,267,1,3.7,4_2018,MS
51,2018,13337,7,0.5,4_2018,MT
52,2018,163,0,0,4_2018,GO
53,2018,71,0,0,4_2018,DF
11,2019,103,0,0,5_2019,RO
12,2019,67,0,0,5_2019,AC
13,2019,92,0,0,5_2019,AM
14,2019,41,0,0,5_2019,RR
15,2019,3504,0,0,5_2019,PA
16,2019,29,0,0,5_2019,AM
17,2019,178,0,0,5_2019,TO
21,2019,757,1,1.3,5_2019,MA
22,2019,884,0,0,5_2019,PI
23,2019,1285,0,0,5_2019,CE
24,2019,13634,14,1,5_2019,RN
25,2019,1661,1,0.6,5_2019,PB
26,2019,2585,2,0.8,5_2019,PE
27,2019,1781,1,0.6,5_2019,AL
28,2019,293,0,0,5_2019,SE
29,2019,11059,11,1,5_2019,BA
31,2019,2682,1,0.4,5_2019,MG
32,2019,1903,1,0.5,5_2019,ES
33,2019,86644,68,0.8,5_2019,RJ
35,2019,1206,0,0,5_2019,SP
41,2019,220,0,0,5_2019,PR
42,2019,102,0,0,5_2019,SC
43,2019,72,0,0,5_2019,RS
50,2019,174,0,0,5_2019,MS
51,2019,517,0,0,5_2019,MT
52,2019,108,0,0,5_2019,GO
53,2019,216,1,4.6,5_2019,DF
11,2020,102,0,0,6_2020,RO
12,2020,54,0,0,6_2020,AC
13,2020,35,0,0,6_2020,AM
14,2020,10,0,0,6_2020,RR
15,2020,391,0,0,6_2020,PA
16,2020,8,0,0,6_2020,AM
17,2020,50,0,0,6_2020,TO
21,2020,207,2,9.7,6_2020,MA
22,2020,185,0,0,6_2020,PI
23,2020,1083,2,1.8,6_2020,CE
24,2020,5368,4,0.7,6_2020,RN
25,2020,1936,6,3.1,6_2020,PB
26,2020,5388,0,0,6_2020,PE
27,2020,169,0,0,6_2020,AL
28,2020,3803,1,0.3,6_2020,SE
29,2020,40599,9,0.2,6_2020,BA
31,2020,3344,0,0,6_2020,MG
32,2020,4329,1,0.2,6_2020,ES
33,2020,3687,3,0.8,6_2020,RJ
35,2020,566,0,0,6_2020,SP
41,2020,414,0,0,6_2020,PR
42,2020,90,0,0,6_2020,SC
43,2020,49,0,0,6_2020,RS
50,2020,189,0,0,6_2020,MS
51,2020,337,1,3,6_2020,MT
52,2020,53,0,0,6_2020,GO
53,2020,138,0,0,6_2020,DF
11,2021,104,0,0,7_2021,RO
12,2021,216,0,0,7_2021,AC
13,2021,125,0,0,7_2021,AM
14,2021,42,0,0,7_2021,RR
15,2021,188,0,0,7_2021,PA
16,2021,64,0,0,7_2021,AM
17,2021,182,0,0,7_2021,TO
21,2021,85,0,0,7_2021,MA
22,2021,212,0,0,7_2021,PI
23,2021,916,1,1.1,7_2021,CE
24,2021,3908,0,0,7_2021,RN
25,2021,7915,1,0.1,7_2021,PB
26,2021,27916,4,0.1,7_2021,PE
27,2021,311,0,0,7_2021,AL
28,2021,1946,1,0.5,7_2021,SE
29,2021,13090,1,0.1,7_2021,BA
31,2021,5405,1,0.2,7_2021,MG
32,2021,1477,2,1.4,7_2021,ES
33,2021,452,0,0,7_2021,RJ
35,2021,18617,7,0.4,7_2021,SP
41,2021,168,0,0,7_2021,PR
42,2021,93,0,0,7_2021,SC
43,2021,304,0,0,7_2021,RS
50,2021,140,0,0,7_2021,MS
51,2021,160,0,0,7_2021,MT
52,2021,527,1,1.9,7_2021,GO
53,2021,166,0,0,7_2021,DF
11,2022,172,0,0,8_2022,RO
