CD_GEOCODU,NM_UF,Cases_2015,Death_2015,CFR_2015,Cases_2016,Death_2016,CFR_2016,Cases_2017,Death_2017,CFR_2017,Cases_2018,Death_2018,CFR_2018,Cases_2019,Death_2019,CFR_2019,Cases_2020,Death_2020,CFR_2020,Cases_2021,Death_2021,CFR_2021,Cases_2022,Death_2022,CFR_2022,Cases_2023,Death_2023,CFR_2023,Cases_total,Death_total,CFR_total
11,Rondônia,25,0,0.0,829,0,0.0,204,0,0.0,62,0,0.0,103,0,0.0,102,0,0.0,104,0,0.0,172,0,0.0,100,0,0.0,1701,0,0.0
12,Acre,7,0,0.0,372,0,0.0,106,0,0.0,301,0,0.0,67,0,0.0,54,0,0.0,216,0,0.0,66,0,0.0,40,0,0.0,1229,0,0.0
13,Amazonas,35,0,0.0,878,0,0.0,247,0,0.0,79,0,0.0,92,0,0.0,35,0,0.0,125,0,0.0,171,0,0.0,81,0,0.0,1743,0,0.0
14,Roraima,54,0,0.0,240,0,0.0,3989,0,0.0,32,0,0.0,41,0,0.0,10,0,0.0,42,0,0.0,101,0,0.0,24,0,0.0,4533,0,0.0
15,Pará,272,0,0.0,4343,0,0.0,8664,6,0.7,8079,1,0.1,3504,0,0.0,391,0,0.0,188,0,0.0,312,0,0.0,305,0,0.0,26058,7,0.3
16,Amapá,865,0,0.0,967,1,1.0,219,0,0.0,175,0,0.0,29,0,0.0,8,0,0.0,64,0,0.0,30,0,0.0,11,0,0.0,2368,1,0.4
17,Tocantins,31,1,32.3,1390,1,0.7,3060,3,1.0,327,0,0.0,178,0,0.0,50,0,0.0,182,0,0.0,4074,0,0.0,4812,0,0.0,14104,5,0.4
21,Maranhão,420,0,0.0,13853,26,1.9,6368,2,0.3,681,2,2.9,757,1,1.3,207,2,9.7,85,0,0.0,2278,3,1.3,1879,0,0.0,26528,36,1.4
22,Piauí,32,0,0.0,2779,1,0.4,6382,2,0.3,613,6,9.8,884,0,0.0,185,0,0.0,212,0,0.0,10807,8,0.7,2544,1,0.4,24438,18,0.7
23,Ceará,93,0,0.0,48324,46,1.0,114041,188,1.6,1534,1,0.7,1285,0,0.0,1083,2,1.8,916,1,1.1,52175,40,0.8,1870,0,0.0,221321,278,1.3
24,Rio Grande do Norte,3048,0,0.0,24927,64,2.6,1988,2,1.0,2149,1,0.5,13634,14,1.0,5368,4,0.7,3908,0,0.0,13925,7,0.5,1739,0,0.0,70686,92,1.3
25,Paraíba,52,0,0.0,20289,40,2.0,1739,4,2.3,1013,3,3.0,1661,1,0.6,1936,6,3.1,7915,1,0.1,18944,22,1.2,820,0,0.0,54369,77,1.4
26,Pernambuco,5355,12,2.2,50139,94,1.9,1787,1,0.6,1206,0,0.0,2585,2,0.8,5388,0,0.0,27916,4,0.1,16653,4,0.2,2141,2,0.9,113170,119,1.1
27,Alagoas,1736,0,0.0,18451,14,0.8,477,0,0.0,208,0,0.0,1781,1,0.6,169,0,0.0,311,0,0.0,10944,2,0.2,330,0,0.0,34407,17,0.5
28,Sergipe,2547,3,1.2,9268,3,0.3,398,0,0.0,39,0,0.0,293,0,0.0,3803,1,0.3,1946,1,0.5,3939,3,0.8,950,0,0.0,23183,11,0.5
29,Bahia,23636,12,0.5,51684,8,0.2,9014,2,0.2,3760,0,0.0,11059,11,1.0,40599,9,0.2,13090,1,0.1,18679,1,0.1,10160,0,0.0,181681,44,0.2
31,Minas Gerais,35,0,0.0,1452,1,0.7,16320,15,0.9,11769,2,0.2,2682,1,0.4,3344,0,0.0,5405,1,0.2,12589,0,0.0,71700,20,0.3,125296,40,0.3
32,Espírito Santo,14,0,0.0,470,0,0.0,820,2,2.4,677,1,1.5,1903,1,0.5,4329,1,0.2,1477,2,1.4,1169,0,0.0,5319,1,0.2,16178,8,0.5
33,Rio de Janeiro,91,0,0.0,18516,17,0.9,4656,4,0.9,40164,19,0.5,86644,68,0.8,3687,3,0.8,452,0,0.0,696,1,1.4,667,0,0.0,155573,112,0.7
35,São Paulo,349,0,0.0,4807,0,0.0,934,2,2.1,731,0,0.0,1206,0,0.0,566,0,0.0,18617,7,0.4,1545,0,0.0,2633,1,0.4,31388,10,0.3
41,Paraná,20,0,0.0,1058,0,0.0,157,0,0.0,129,0,0.0,220,0,0.0,414,0,0.0,168,0,0.0,303,0,0.0,2428,3,1.2,4897,3,0.6
42,Santa Catarina,13,0,0.0,578,0,0.0,53,0,0.0,56,0,0.0,102,0,0.0,90,0,0.0,93,0,0.0,161,0,0.0,221,0,0.0,1367,0,0.0
43,Rio Grande do Sul,20,0,0.0,342,0,0.0,63,0,0.0,51,1,19.6,72,0,0.0,49,0,0.0,304,0,0.0,233,0,0.0,164,0,0.0,1298,1,0.8
50,Mato Grosso do Sul,60,0,0.0,284,0,0.0,154,0,0.0,267,1,3.7,174,0,0.0,189,0,0.0,140,0,0.0,707,0,0.0,5406,2,0.4,7381,3,0.4
51,Mato Grosso,120,0,0.0,568,0,0.0,3452,1,0.3,13337,7,0.5,517,0,0.0,337,1,3.0,160,0,0.0,239,0,0.0,233,0,0.0,18963,9,0.5
52,Goiás,23,0,0.0,486,1,2.1,171,1,5.8,163,0,0.0,108,0,0.0,53,0,0.0,527,1,1.9,4466,9,2.0,1405,4,2.8,7402,16,2.2
53,Distrito Federal,44,0,0.0,588,1,1.7,130,0,0.0,71,0,0.0,216,1,4.6,138,0,0.0,166,0,0.0,578,0,0.0,466,0,0.0,2397,2,0.8
