group,tissue,findings,results,count,percentage
6_Brainvasocongestion/congestion,6_Brain,vasocongestion/congestion,3_presence,23,88.5%
6_Brainvasocongestion/congestion,6_Brain,vasocongestion/congestion,2_absence,2,7.7%
6_Brainvasocongestion/congestion,6_Brain,vasocongestion/congestion,1_unperformed,1,3.8%
6_Brainedema,6_Brain,edema,3_presence,24,92.3%
6_Brainedema,6_Brain,edema,2_absence,1,3.8%
6_Brainedema,6_Brain,edema,1_unperformed,1,3.8%
6_Brainanoxic depolarization,6_Brain,anoxic depolarization,3_presence,13,50.0%
6_Brainanoxic depolarization,6_Brain,anoxic depolarization,2_absence,12,46.2%
6_Brainanoxic depolarization,6_Brain,anoxic depolarization,1_unperformed,1,3.8%
6_Brainperivascular mononuclear cell infiltration,6_Brain,perivascular mononuclear cell infiltration,3_presence,8,30.8%
6_Brainperivascular mononuclear cell infiltration,6_Brain,perivascular mononuclear cell infiltration,2_absence,17,65.4%
6_Brainperivascular mononuclear cell infiltration,6_Brain,perivascular mononuclear cell infiltration,1_unperformed,1,3.8%
6_Brainnecrosis,6_Brain,necrosis,3_presence,5,19.2%
6_Brainnecrosis,6_Brain,necrosis,2_absence,20,76.9%
6_Brainnecrosis,6_Brain,necrosis,1_unperformed,1,3.8%
6_Brainhemorrhage,6_Brain,hemorrhage,3_presence,4,15.4%
6_Brainhemorrhage,6_Brain,hemorrhage,2_absence,21,80.8%
6_Brainhemorrhage,6_Brain,hemorrhage,1_unperformed,1,3.8%
5_Heartvasocongestion/congestion,5_Heart,vasocongestion/congestion,3_presence,10,38.5%
5_Heartvasocongestion/congestion,5_Heart,vasocongestion/congestion,2_absence,15,57.7%
5_Heartvasocongestion/congestion,5_Heart,vasocongestion/congestion,1_unperformed,1,3.8%
5_Heartedema,5_Heart,edema,3_presence,8,30.8%
5_Heartedema,5_Heart,edema,2_absence,17,65.4%
5_Heartedema,5_Heart,edema,1_unperformed,1,3.8%
5_Heartperivascular mononuclear cell infiltration,5_Heart,perivascular mononuclear cell infiltration,3_presence,6,23.1%
5_Heartperivascular mononuclear cell infiltration,5_Heart,perivascular mononuclear cell infiltration,2_absence,19,73.1%
5_Heartperivascular mononuclear cell infiltration,5_Heart,perivascular mononuclear cell infiltration,1_unperformed,1,3.8%
4_Lungvasocongestion/congestion,4_Lung,vasocongestion/congestion,3_presence,24,92.3%
4_Lungvasocongestion/congestion,4_Lung,vasocongestion/congestion,2_absence,2,7.7%
4_Lungvasocongestion/congestion,4_Lung,vasocongestion/congestion,1_unperformed,0,0.0%
4_Lungedema,4_Lung,edema,3_presence,13,50.0%
4_Lungedema,4_Lung,edema,2_absence,13,50.0%
4_Lungedema,4_Lung,edema,1_unperformed,0,0.0%
4_Lungalveolar hemorrahage,4_Lung,alveolar hemorrahage,3_presence,9,34.6%
4_Lungalveolar hemorrahage,4_Lung,alveolar hemorrahage,2_absence,17,65.4%
4_Lungalveolar hemorrahage,4_Lung,alveolar hemorrahage,1_unperformed,0,0.0%
