class,m/z,abbreviation,groups,log2(FC),p_value
Fatty acid,204.1232,CAR 2:0,C/H,0.9098,0.9278
Fatty acid,204.1232,CAR 2:0,S/H,-1.0926,0.0161
Fatty acid,204.1232,CAR 2:0,F/H,1.7689,0.0232
Fatty acid,204.1232,CAR 2:0,F/S,2.8343,0.001
Fatty acid,295.2268,FA 18:3;O,C/H,3.7293,0.0001
Fatty acid,295.2268,FA 18:3;O,S/H,4.449,0
Fatty acid,295.2268,FA 18:3;O,F/H,2.4988,0.0042
Fatty acid,295.2268,FA 18:3;O,F/S,-1.9135,0.0196
Fatty acid,359.2194,FA 20:4;O2,C/H,2.3231,0.0064
Fatty acid,359.2194,FA 20:4;O2,S/H,2.9197,0
Fatty acid,359.2194,FA 20:4;O2,F/H,1.4615,0.1969
Fatty acid,359.2194,FA 20:4;O2,F/S,-1.4187,0.0132
Fatty acid,400.3421,CAR 16:0,C/H,0.6134,0.7374
Fatty acid,400.3421,CAR 16:0,S/H,-0.543,0.1884
Fatty acid,400.3421,CAR 16:0,F/H,1.254,0.0007
Fatty acid,400.3421,CAR 16:0,F/S,1.7678,0.0004
Fatty acid,426.3576,CAR 18:1,C/H,1.5334,0.3416
Fatty acid,426.3576,CAR 18:1,S/H,-1.6681,0.166
Fatty acid,426.3576,CAR 18:1,F/H,2.4725,0.0006
Fatty acid,426.3576,CAR 18:1,F/S,3.0484,0
Fatty acid,428.3734,CAR 18:0,C/H,-0.0655,0.9397
Fatty acid,428.3734,CAR 18:0,S/H,-0.9551,0.2075
Fatty acid,428.3734,CAR 18:0,F/H,0.4835,0.0625
Fatty acid,428.3734,CAR 18:0,F/S,1.4278,0.001
Glycerolipid,869.699,TG 50:2,C/H,0.3007,0.9698
Glycerolipid,869.699,TG 50:2,S/H,-1.0964,0.0806
Glycerolipid,869.699,TG 50:2,F/H,1.012,0.0149
Glycerolipid,869.699,TG 50:2,F/S,1.6406,0.0005
Glycerolipid,871.7145,TG 50:1,C/H,0.6223,0.8814
Glycerolipid,871.7145,TG 50:1,S/H,-1.3253,0.1631
Glycerolipid,871.7145,TG 50:1,F/H,1.444,0.0606
Glycerolipid,871.7145,TG 50:1,F/S,1.9778,0.0038
Glycerolipid,893.6991,TG 52:4,C/H,-0.7819,0.0218
Glycerolipid,893.6991,TG 52:4,S/H,-2.0109,0.0002
Glycerolipid,893.6991,TG 52:4,F/H,-0.1099,0.4179
Glycerolipid,893.6991,TG 52:4,F/S,1.654,0.0238
Glycerolipid,895.7149,TG 52:3,C/H,-0.1487,0.2942
Glycerolipid,895.7149,TG 52:3,S/H,-1.6289,0.0059
Glycerolipid,895.7149,TG 52:3,F/H,0.5756,0.2213
Glycerolipid,895.7149,TG 52:3,F/S,2.1952,0.0009
Glycerolipid,897.7305,TG 52:2,C/H,0.191,0.5305
Glycerolipid,897.7305,TG 52:2,S/H,-1.3704,0.003
Glycerolipid,897.7305,TG 52:2,F/H,0.9437,0.0234
Glycerolipid,897.7305,TG 52:2,F/S,2.1982,0.0001
